ID,Label,Name,Category,Type,Text,Front Image,Back Image,Use Count
Building_Blocks_Caches,Blocks_Caches,Blocks_Caches,Building_Blocks,,,\VisitorBox Cards\cards-21_04_2020_275.png,\VisitorBox Cards\building_blocks_back.png,0
Building_Blocks_Check-in,Blocks_Check-in,Blocks_Check-in,Building_Blocks,,,\VisitorBox Cards\cards-21_04_2020_277.png,\VisitorBox Cards\building_blocks_back.png,0
Building_Blocks_Citizen_Science,Blocks_Citizen_Science,Blocks_Citizen_Science,Building_Blocks,,,\VisitorBox Cards\cards-21_04_2020_279.png,\VisitorBox Cards\building_blocks_back.png,0
Building_Blocks_Collect,Blocks_Collect,Blocks_Collect,Building_Blocks,,,\VisitorBox Cards\cards-21_04_2020_281.png,\VisitorBox Cards\building_blocks_back.png,0
Building_Blocks_Criticism,Blocks_Criticism,Blocks_Criticism,Building_Blocks,,,\VisitorBox Cards\cards-21_04_2020_283.png,\VisitorBox Cards\building_blocks_back.png,0
Building_Blocks_Crowd_Sourcing,Blocks_Crowd_Sourcing,Blocks_Crowd_Sourcing,Building_Blocks,,,\VisitorBox Cards\cards-21_04_2020_285.png,\VisitorBox Cards\building_blocks_back.png,0
Building_Blocks_Decision,Blocks_Decision,Blocks_Decision,Building_Blocks,,,\VisitorBox Cards\cards-21_04_2020_287.png,\VisitorBox Cards\building_blocks_back.png,0
Building_Blocks_Episodes,Blocks_Episodes,Blocks_Episodes,Building_Blocks,,,\VisitorBox Cards\cards-21_04_2020_289.png,\VisitorBox Cards\building_blocks_back.png,0
Building_Blocks_Gatekeepers,Blocks_Gatekeepers,Blocks_Gatekeepers,Building_Blocks,,,\VisitorBox Cards\cards-21_04_2020_291.png,\VisitorBox Cards\building_blocks_back.png,0
Building_Blocks_Gifting,Blocks_Gifting,Blocks_Gifting,Building_Blocks,,,\VisitorBox Cards\cards-21_04_2020_293.png,\VisitorBox Cards\building_blocks_back.png,0
Building_Blocks_Invite_Imitation,Blocks_Invite_Imitation,Blocks_Invite_Imitation,Building_Blocks,,,\VisitorBox Cards\cards-21_04_2020_295.png,\VisitorBox Cards\building_blocks_back.png,0
Building_Blocks_Marketplace,Blocks_Marketplace,Blocks_Marketplace,Building_Blocks,,,\VisitorBox Cards\cards-21_04_2020_297.png,\VisitorBox Cards\building_blocks_back.png,0
Building_Blocks_Mob,Blocks_Mob,Blocks_Mob,Building_Blocks,,,\VisitorBox Cards\cards-21_04_2020_299.png,\VisitorBox Cards\building_blocks_back.png,0
Building_Blocks_Persona,Blocks_Persona,Blocks_Persona,Building_Blocks,,,\VisitorBox Cards\cards-21_04_2020_301.png,\VisitorBox Cards\building_blocks_back.png,0
Building_Blocks_Pressure,Blocks_Pressure,Blocks_Pressure,Building_Blocks,,,\VisitorBox Cards\cards-21_04_2020_303.png,\VisitorBox Cards\building_blocks_back.png,0
Building_Blocks_QnA,Blocks_QnA,Blocks_QnA,Building_Blocks,,,\VisitorBox Cards\cards-21_04_2020_305.png,\VisitorBox Cards\building_blocks_back.png,0
Building_Blocks_Reward,Blocks_Reward,Blocks_Reward,Building_Blocks,,,\VisitorBox Cards\cards-21_04_2020_307.png,\VisitorBox Cards\building_blocks_back.png,0
Building_Blocks_Seamful_Design,Blocks_Seamful_Design,Blocks_Seamful_Design,Building_Blocks,,,\VisitorBox Cards\cards-21_04_2020_309.png,\VisitorBox Cards\building_blocks_back.png,0
Building_Blocks_Storytelling,Blocks_Storytelling,Blocks_Storytelling,Building_Blocks,,,\VisitorBox Cards\cards-21_04_2020_311.png,\VisitorBox Cards\building_blocks_back.png,0
Building_Blocks_Volunteers,Blocks_Volunteers,Blocks_Volunteers,Building_Blocks,,,\VisitorBox Cards\cards-21_04_2020_313.png,\VisitorBox Cards\building_blocks_back.png,0
Building_Blocks_Gestures,Blocks_Gestures,Blocks_Gestures,Building_Blocks,,,\VisitorBox Cards\cards-21_04_2020_315.png,\VisitorBox Cards\building_blocks_back.png,0
Building_Blocks_Hacking_And_Crafting,Blocks_Hacking_And_Crafting,Blocks_Hacking_And_Crafting,Building_Blocks,,,\VisitorBox Cards\cards-21_04_2020_317.png,\VisitorBox Cards\building_blocks_back.png,0
Building_Blocks_Hands_On,Blocks_Hands_On,Blocks_Hands_On,Building_Blocks,,,\VisitorBox Cards\cards-21_04_2020_319.png,\VisitorBox Cards\building_blocks_back.png,0
Building_Blocks_Low_Tech,Blocks_Low_Tech,Blocks_Low_Tech,Building_Blocks,,,\VisitorBox Cards\cards-21_04_2020_321.png,\VisitorBox Cards\building_blocks_back.png,0
Building_Blocks_Technical_Artefacts,Blocks_Technical_Artefacts,Blocks_Technical_Artefacts,Building_Blocks,,,\VisitorBox Cards\cards-21_04_2020_323.png,\VisitorBox Cards\building_blocks_back.png,0
Building_Blocks_Authenticity,Blocks_Authenticity,Blocks_Authenticity,Building_Blocks,,,\VisitorBox Cards\cards-21_04_2020_325.png,\VisitorBox Cards\building_blocks_back.png,0
Building_Blocks_Bio-Sensing,Blocks_Bio-Sensing,Blocks_Bio-Sensing,Building_Blocks,,,\VisitorBox Cards\cards-21_04_2020_327.png,\VisitorBox Cards\building_blocks_back.png,0
Building_Blocks_Haptic_Feedback,Blocks_Haptic_Feedback,Blocks_Haptic_Feedback,Building_Blocks,,,\VisitorBox Cards\cards-21_04_2020_329.png,\VisitorBox Cards\building_blocks_back.png,0
Building_Blocks_Motion_Tracking,Blocks_Motion_Tracking,Blocks_Motion_Tracking,Building_Blocks,,,\VisitorBox Cards\cards-21_04_2020_331.png,\VisitorBox Cards\building_blocks_back.png,0
Building_Blocks_Personal_Soundtrack,Blocks_Personal_Soundtrack,Blocks_Personal_Soundtrack,Building_Blocks,,,\VisitorBox Cards\cards-21_04_2020_333.png,\VisitorBox Cards\building_blocks_back.png,0
Building_Blocks_Blurred_Boundaries,Blocks_Blurred_Boundaries,Blocks_Blurred_Boundaries,Building_Blocks,,,\VisitorBox Cards\cards-21_04_2020_335.png,\VisitorBox Cards\building_blocks_back.png,0
